L = 12, j = 1.0, jz = 0.4, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.0049875621120892, length: 8
 b_2 = 2.167834161206767, length: 8
b_3 = 2.0930961922885465, length  = 22, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.647
b_4 = 3.279320930260168, length  = 58, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.659
b_5 = 2.2464772019343027, length  = 159, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.66
b_6 = 3.5619253577849594, length  = 425, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.66
b_7 = 3.852117300674635, length  = 1153, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.661
b_8 = 5.0115105734467695, length  = 3102, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.663
b_9 = 4.768187431724348, length  = 8380, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.669
b_10 = 5.368484944526339, length  = 22592, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.684
b_11 = 5.544929943153152, length  = 60964, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.755
b_12 = 6.491228748789337, length  = 160340, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:42.929
b_13 = 6.300319785947894, length  = 391289, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:43.529
b_14 = 7.216143746943219, length  = 843614, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:45.387
b_15 = 6.809761540858612, length  = 1559901, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:49.579
b_16 = 7.621362638650631, length  = 2448244, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:57.865
b_17 = 7.770118971440829, length  = 3284053, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:09.613
b_18 = 8.280285598470007, length  = 3853627, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:27.338
b_19 = 8.978593983141513, length  = 4115199, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:47.278
b_20 = 9.146928148099779, length  = 4185638, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:08.234
b_21 = 9.022303827912532, length  = 4194268, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:29.427
b_22 = 9.840013115763863, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:50.717
b_23 = 9.807506334575374, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:12.189
b_24 = 10.57053890388636, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:33.425
b_25 = 10.787009097522468, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:54.698
b_26 = 11.171537642510218, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:15.981
b_27 = 11.15021378056893, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:37.413
b_28 = 11.388256820000663, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:58.708
b_29 = 11.69382227552257, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:20.001
b_30 = 11.883354265102229, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:41.24
b_31 = 11.732675750417673, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:02.549
b_32 = 12.231297617081623, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:24.019
b_33 = 11.738576227991901, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:45.259
b_34 = 11.82961496982139, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:06.55
b_35 = 11.164692035042341, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:27.833
b_36 = 11.378770125107357, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:49.267
b_37 = 11.274959384479928, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:10.584
b_38 = 11.364472023258976, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:31.847
b_39 = 11.271146489286139, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:53.079
b_40 = 11.243319655485715, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:14.593
b_41 = 11.188893626203601, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:35.846
b_42 = 11.227475927885852, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:57.1
b_43 = 11.198047661004198, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:18.375
b_44 = 11.405643036205284, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:39.797
b_45 = 11.277711966339115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:01.072
b_46 = 11.451722821016489, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:22.324
b_47 = 11.352405128717281, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:43.557
b_48 = 11.598664497072317, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:05.026
b_49 = 11.505272968871132, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:26.3
b_50 = 11.691536744472062, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:47.525
b_51 = 11.659532601248124, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:08.828
b_52 = 11.735277238013358, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:42.091
b_53 = 11.666536796626257, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:03.32
b_54 = 11.643883792463594, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:24.647
b_55 = 11.478954393719048, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:45.911
b_56 = 11.457276167571344, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:07.338
b_57 = 11.26820011407984, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:28.659
b_58 = 11.297437720909892, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:49.936
b_59 = 11.092264400734104, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:11.206
b_60 = 11.145727885251683, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:32.513
b_61 = 11.004747767315918, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:53.587
b_62 = 11.058165768690953, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:14.709
b_63 = 10.96700376219409, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:35.814
b_64 = 11.079186386044777, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:57.054
b_65 = 11.00471934988988, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:18.113
b_66 = 11.124030422387422, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:39.389
b_67 = 11.079396208305905, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:01.054
b_68 = 11.239251245723924, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:22.465
b_69 = 11.225969442237956, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:43.665
b_70 = 11.327340759699961, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:04.84
