L = 12, j = 1.0, jz = 0.2, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 0.7280109889280518, length: 8
 b_2 = 2.080321092777892, length: 8
b_3 = 1.5147491415611551, length  = 22, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.859
b_4 = 3.334748670247596, length  = 58, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.874
b_5 = 1.7966567507285167, length  = 159, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.874
b_6 = 3.076829810012163, length  = 425, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.875
b_7 = 3.335263132593935, length  = 1153, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.876
b_8 = 4.8166513754681874, length  = 3102, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.878
b_9 = 4.012028208858841, length  = 8380, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.885
b_10 = 5.082088406042565, length  = 22592, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.902
b_11 = 4.358491142433093, length  = 60964, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:31.997
b_12 = 5.673252711467157, length  = 160340, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:32.196
b_13 = 5.3966729028479765, length  = 391289, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:32.842
b_14 = 7.01199492759329, length  = 843614, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:34.756
b_15 = 6.038931229356722, length  = 1559901, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:39.073
b_16 = 6.655260442140911, length  = 2448244, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.686
b_17 = 7.049455164004746, length  = 3284053, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:00.201
b_18 = 7.159996267170645, length  = 3853627, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:18.622
b_19 = 7.334870802648985, length  = 4115199, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:39.62
b_20 = 9.018220437968052, length  = 4185638, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:01.259
b_21 = 8.138627978207415, length  = 4194268, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:23.221
b_22 = 8.87818913013847, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:45.566
b_23 = 8.30681228437029, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:07.861
b_24 = 9.517906533116218, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:30.206
b_25 = 9.212638949199636, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:52.528
b_26 = 10.16201542571858, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:14.513
b_27 = 10.46733073138872, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:36.557
b_28 = 10.99700010716275, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:58.776
b_29 = 9.928841547267862, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:21.068
b_30 = 11.019408252352873, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:43.503
b_31 = 10.74423820881048, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:05.783
b_32 = 11.255016208339184, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:27.695
b_33 = 11.069060845246916, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:49.667
b_34 = 11.547010538434568, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:11.609
b_35 = 11.513143490275139, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:33.878
b_36 = 11.37525899425919, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:56.281
b_37 = 10.619993915566695, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:18.554
b_38 = 10.76359784407209, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:40.803
b_39 = 10.754404585344687, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:03.013
b_40 = 10.72190545155774, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:25.183
b_41 = 10.667803915097627, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:47.463
b_42 = 10.76897097140885, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:09.665
