L = 12, j = 1.0, jz = 0.3, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 0.8544003745317531, length: 8
 b_2 = 2.131209702145837, length: 8
b_3 = 1.859563381069416, length  = 22, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.968
b_4 = 3.291361120976876, length  = 58, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.979
b_5 = 1.964644017448855, length  = 159, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.98
b_6 = 3.390977835159831, length  = 425, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.98
b_7 = 3.6584487279193207, length  = 1153, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.981
b_8 = 4.8897413503212155, length  = 3102, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.983
b_9 = 4.438145798389894, length  = 8380, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:36.989
b_10 = 5.111462219227814, length  = 22592, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:37.004
b_11 = 4.97698305456804, length  = 60964, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:37.075
b_12 = 6.139272659149226, length  = 160340, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:37.231
b_13 = 5.967685889771054, length  = 391289, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:37.791
b_14 = 7.046493476406637, length  = 843614, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:39.535
b_15 = 6.328251110793515, length  = 1559901, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:43.6
b_16 = 7.2519993505268, length  = 2448244, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.801
b_17 = 7.342274108112037, length  = 3284053, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:03.488
b_18 = 7.685406468270613, length  = 3853627, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:21.154
b_19 = 8.437335452300015, length  = 4115199, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:41.163
b_20 = 9.045366259039222, length  = 4185638, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:02.2
b_21 = 8.41278802642346, length  = 4194268, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:23.5
b_22 = 9.321204245630497, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:44.866
b_23 = 9.129700146191459, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:06.261
b_24 = 10.00437873191378, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:27.579
b_25 = 10.106657974850133, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:48.965
b_26 = 10.88364663934279, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:10.314
b_27 = 10.770337205723337, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:31.637
b_28 = 10.818962775584497, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:53.058
b_29 = 10.913071423787033, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:14.441
b_30 = 11.593970253822645, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:35.791
b_31 = 11.089208151993484, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:57.199
b_32 = 11.848754006068203, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:18.322
b_33 = 11.487132393669597, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:39.501
b_34 = 11.79502998904784, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:00.655
b_35 = 11.09270647647816, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:21.829
b_36 = 11.027630434754466, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:43.016
b_37 = 10.899950995420737, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:04.203
b_38 = 11.121005016994555, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:25.326
b_39 = 10.98000079186634, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:46.504
b_40 = 11.004545370840555, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:07.671
b_41 = 10.91697496339632, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:28.798
b_42 = 10.885526015875557, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:49.986
b_43 = 10.80878887968359, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:11.163
b_44 = 10.936757682472209, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:32.268
b_45 = 10.804872068026658, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:53.453
b_46 = 11.012899627768203, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:14.601
b_47 = 10.590545043247142, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:35.735
b_48 = 11.003881054457253, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:56.937
b_49 = 10.663680662538924, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:18.08
b_50 = 10.912598267159016, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:39.229
b_51 = 10.86800598450679, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:00.438
b_52 = 11.10148067753768, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:21.487
b_53 = 11.170496348298393, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:42.464
b_54 = 11.514891931911363, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:03.378
b_55 = 11.64284510063126, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:24.271
b_56 = 11.651817704292066, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:45.206
b_57 = 11.37466994670905, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:06.11
b_58 = 11.38553091010358, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:27.132
b_59 = 10.972087872752821, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:48.19
b_60 = 10.994869060795473, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:09.246
b_61 = 10.704062970159505, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:30.208
b_62 = 10.711979086522824, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:51.266
b_63 = 10.593495824583066, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:12.355
b_64 = 10.609437192645252, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:33.365
b_65 = 10.52017146390079, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:54.384
b_66 = 10.634671350890034, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:15.485
b_67 = 10.55735493271104, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:36.591
b_68 = 10.573316484345588, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:57.718
b_69 = 10.55914642438356, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:18.815
b_70 = 10.605593692135109, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:40.138
b_71 = 10.618510215054597, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:01.536
b_72 = 10.739976531283354, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:22.913
b_73 = 10.845374418696231, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:44.227
b_74 = 11.000580420656739, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:05.618
b_75 = 10.999946320248853, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:27.02
b_76 = 11.035233334054599, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:48.336
