L = 12, j = 1.0, jz = 0.5, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.1704699910719625, length: 8
 b_2 = 2.192572065582731, length: 8
b_59 = 11.553013559037783, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:03.548
b_60 = 11.617202605626417, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:24.461
b_61 = 11.582569550708667, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:45.394
b_62 = 11.657427316495811, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:06.5
b_63 = 11.64603099529403, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:27.436
b_64 = 11.7070147061687, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:48.424
b_65 = 11.624275518663863, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:09.391
b_66 = 11.63087210659186, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:30.596
b_67 = 11.551547112492857, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:51.66
b_68 = 11.550536944206685, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:12.727
b_69 = 11.41739325244546, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:33.898
b_70 = 11.397718807259025, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:55.362
b_71 = 11.262115070509827, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:16.7
b_72 = 11.267977112779922, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:37.977
b_73 = 11.185976635233521, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:59.305
b_74 = 11.223299745394197, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:20.755
b_75 = 11.26197519699698, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:42.014
b_76 = 11.399951530066803, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:03.364
b_77 = 11.502727502631911, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:24.685
b_78 = 11.578570052674538, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:46.097
b_79 = 11.504526148668004, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:07.479
b_80 = 11.453433706432806, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:28.783
b_81 = 11.264200739482115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:50.085
b_82 = 11.204443468872483, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:11.585
b_83 = 11.127536193266868, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:32.873
b_84 = 11.25523658835215, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:54.836
b_85 = 11.343956345746516, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:16.465
b_86 = 11.47590141751626, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:37.975
b_87 = 11.518046719377272, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:59.368
b_88 = 11.62855115312793, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:20.811
b_89 = 11.687990211941626, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:42.216
b_90 = 11.7541887581871, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:55:03.848
b_91 = 11.671285052650019, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:55:25.259
b_92 = 11.5689851286323, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:55:46.666
b_93 = 11.379463521001172, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:08.187
b_94 = 11.341219093616239, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:29.777
b_95 = 11.321367838177084, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:51.202
b_96 = 11.39430249917698, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:12.751
b_97 = 11.372983058049176, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:34.229
b_98 = 11.348163527260159, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:55.9
b_99 = 11.18273746792573, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:58:17.421
b_100 = 11.02503790094411, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:58:38.898
b_101 = 10.899936413424562, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:00.448
b_102 = 10.957817415146543, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:22.12
b_103 = 11.138619280488154, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:43.598
b_104 = 11.349734033030106, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:00:05.118
b_105 = 11.483589520177388, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:00:26.678
b_106 = 11.4975269226389, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:00:48.306
b_107 = 11.478047054984236, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:09.882
b_108 = 11.45174109805777, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:31.3
b_109 = 11.448553650916006, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:52.745
b_110 = 11.494552165563006, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:14.346
b_111 = 11.474509463439647, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:35.757
b_112 = 11.485980140777132, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:57.213
b_113 = 11.40200394259025, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:03:18.647
b_114 = 11.410600971766584, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:03:40.227
b_115 = 11.391501348004724, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:01.634
b_116 = 11.504403976885936, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:23.093
b_117 = 11.594997460647594, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:44.592
b_118 = 11.715906734195908, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:05:06.135
b_119 = 11.63281349011219, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:05:27.601
b_120 = 11.43946128782195, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:05:49.051
b_121 = 11.227968427630692, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:10.469
b_122 = 11.156565356631885, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:32.093
b_123 = 11.336174635055206, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:53.558
b_124 = 11.464768066623153, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:14.949
b_125 = 11.45319504000105, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:36.422
b_126 = 11.303104305865128, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:57.985
b_127 = 11.21151999637489, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:08:19.418
b_128 = 11.262700414565128, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:08:40.901
b_129 = 11.321678083092081, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:02.381
b_130 = 11.339337292353532, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:23.941
b_131 = 11.28926337987378, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:45.377
b_132 = 11.361375392950343, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:10:06.725
b_133 = 11.385279117599671, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:10:28.12
b_134 = 11.433041599460584, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:10:49.746
b_135 = 11.380169386347383, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:11.163
b_136 = 11.319118242900128, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:32.551
b_137 = 11.27205350420118, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:54.053
b_138 = 11.304488797643378, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:15.653
b_139 = 11.414915504873116, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:37.064
b_140 = 11.504982150207208, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:58.528
b_141 = 11.641830682698783, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:13:19.996
b_142 = 11.889939877605542, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:13:41.634
b_143 = 12.258560786520182, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:03.119
b_144 = 12.621992269695872, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:24.491
b_145 = 12.72031238421934, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:45.944
b_146 = 12.508392874349203, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:15:07.542
b_147 = 12.080461402364456, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:15:28.886
b_148 = 11.737781925373353, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:15:50.31
b_149 = 11.478567794246713, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:11.767
b_150 = 11.316407526769993, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:33.302
b_151 = 11.18292944282172, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:54.786
b_152 = 11.145882714905738, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:16.206
b_153 = 11.191642515258405, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:37.65
b_154 = 11.276388216740223, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:59.255
b_155 = 11.240867824507035, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:18:20.685
b_156 = 11.156923887287833, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:18:42.166
b_157 = 11.187509804051516, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:03.631
b_158 = 11.386608171471641, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:25.23
b_159 = 11.527716068752587, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:46.685
b_160 = 11.482434747084548, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:20:08.155
b_161 = 11.315804126759028, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:20:29.564
